country_id,country,region
160,Belize,Latin America and Caribbean
161,Somalia,Sub-Saharan Africa
162,Somaliland Region,Sub-Saharan Africa
163,Namibia,Sub-Saharan Africa
164,South Sudan,Sub-Saharan Africa
165,Norway,Unknown
166,Denmark,Unknown
167,Iceland,Unknown
168,Switzerland,Unknown
169,Finland,Unknown
170,Netherlands,Unknown
171,Canada,Unknown
172,New Zealand,Unknown
173,Sweden,Unknown
174,Australia,Unknown
175,Israel,Unknown
176,Costa Rica,Unknown
177,Austria,Unknown
178,United States,Unknown
179,Ireland,Unknown
180,Germany,Unknown
181,Belgium,Unknown
182,Luxembourg,Unknown
183,United Kingdom,Unknown
184,Chile,Unknown
185,United Arab Emirates,Unknown
186,Brazil,Unknown
187,Czech Republic,Unknown
188,Argentina,Unknown
189,Mexico,Unknown
190,Singapore,Unknown
191,Malta,Unknown
192,Uruguay,Unknown
193,Guatemala,Unknown
194,Panama,Unknown
195,France,Unknown
196,Thailand,Unknown
197,Taiwan Province of China,Unknown
198,Spain,Unknown
199,Qatar,Unknown
200,Colombia,Unknown
201,Saudi Arabia,Unknown
202,Trinidad and Tobago,Unknown
203,Kuwait,Unknown
204,Slovakia,Unknown
205,Bahrain,Unknown
206,Malaysia,Unknown
207,Nicaragua,Unknown
208,Ecuador,Unknown
209,El Salvador,Unknown
210,Poland,Unknown
211,Uzbekistan,Unknown
212,Italy,Unknown
213,Russia,Unknown
214,Belize,Unknown
215,Japan,Unknown
216,Lithuania,Unknown
217,Algeria,Unknown
218,Latvia,Unknown
219,South Korea,Unknown
220,Moldova,Unknown
221,Romania,Unknown
222,Bolivia,Unknown
223,Turkmenistan,Unknown
224,Kazakhstan,Unknown
225,North Cyprus,Unknown
226,Slovenia,Unknown
227,Peru,Unknown
228,Mauritius,Unknown
229,Cyprus,Unknown
230,Estonia,Unknown
231,Belarus,Unknown
232,Libya,Unknown
233,Turkey,Unknown
234,Paraguay,Unknown
235,"Hong Kong S.A.R., China",Unknown
236,Philippines,Unknown
237,Serbia,Unknown
238,Jordan,Unknown
239,Hungary,Unknown
240,Jamaica,Unknown
241,Croatia,Unknown
242,Kosovo,Unknown
243,China,Unknown
244,Pakistan,Unknown
245,Indonesia,Unknown
246,Venezuela,Unknown
247,Montenegro,Unknown
248,Morocco,Unknown
249,Azerbaijan,Unknown
250,Dominican Republic,Unknown
251,Greece,Unknown
252,Lebanon,Unknown
253,Portugal,Unknown
254,Bosnia and Herzegovina,Unknown
255,Honduras,Unknown
256,Macedonia,Unknown
257,Somalia,Unknown
258,Vietnam,Unknown
259,Nigeria,Unknown
260,Tajikistan,Unknown
261,Bhutan,Unknown
262,Kyrgyzstan,Unknown
263,Nepal,Unknown
264,Mongolia,Unknown
265,South Africa,Unknown
266,Tunisia,Unknown
267,Palestinian Territories,Unknown
268,Egypt,Unknown
269,Bulgaria,Unknown
270,Sierra Leone,Unknown
271,Cameroon,Unknown
272,Iran,Unknown
273,Albania,Unknown
274,Bangladesh,Unknown
275,Namibia,Unknown
276,Kenya,Unknown
277,Mozambique,Unknown
278,Myanmar,Unknown
279,Senegal,Unknown
280,Zambia,Unknown
281,Iraq,Unknown
282,Gabon,Unknown
283,Ethiopia,Unknown
284,Sri Lanka,Unknown
285,Armenia,Unknown
286,India,Unknown
287,Mauritania,Unknown
288,Congo (Brazzaville),Unknown
289,Georgia,Unknown
290,Congo (Kinshasa),Unknown
291,Mali,Unknown
292,Ivory Coast,Unknown
293,Cambodia,Unknown
294,Sudan,Unknown
295,Ghana,Unknown
296,Ukraine,Unknown
297,Uganda,Unknown
298,Burkina Faso,Unknown
299,Niger,Unknown
300,Malawi,Unknown
301,Chad,Unknown
302,Zimbabwe,Unknown
303,Lesotho,Unknown
304,Angola,Unknown
305,Afghanistan,Unknown
306,Botswana,Unknown
307,Benin,Unknown
308,Madagascar,Unknown
309,Haiti,Unknown
310,Yemen,Unknown
311,South Sudan,Unknown
312,Liberia,Unknown
313,Guinea,Unknown
314,Togo,Unknown
315,Rwanda,Unknown
316,Syria,Unknown
317,Tanzania,Unknown
318,Burundi,Unknown
319,Central African Republic,Unknown
320,Taiwan,Unknown
321,Trinidad & Tobago,Unknown
322,Northern Cyprus,Unknown
323,Hong Kong,Unknown
324,Laos,Unknown
325,North Macedonia,Unknown
326,Gambia,Unknown
327,Swaziland,Unknown
328,Comoros,Unknown
